property_name,SBA,avg_price,lat,long
Sumadhuras Gardens By The Brook,1362.5,0.9749,17.2619,78.388
Sumadhuras Gardens By The Brook,1652.5,1.23,17.2619,78.388
The Olympus,2140.0,2.4,17.4169,78.3424
Technopolis Solitaire Unity,1420.0,1.1800000000000002,17.47,78.3534
Technopolis Solitaire Unity,1850.0,1.535,17.47,78.3534
Primark Northwave,1297.5,0.6097,17.5641,78.4377
Primark Northwave,1637.5,0.76945,17.5641,78.4377
Iris by Raghava,3822.0,7.109999999999999,17.4401,78.3489
Unnati Shree Rath Apartments,985.0,0.7683,17.5197,78.3779
Unnati Shree Rath Apartments,1685.0,1.315,17.5197,78.3779
ASBL Loft,1782.5,1.66,17.4401,78.3489
Primark Inspira,1227.5,0.8591500000000001,17.5169,78.3428
Primark Inspira,1890.0,1.325,17.5169,78.3428
Aparna Newlands,1475.0,1.3,17.4632,78.2865
Aparna Newlands,1832.0,1.615,17.4632,78.2865
Rubrick Tulip,1330.0,0.62495,,78.491684
Rubrick Tulip,1762.5,0.8282,,78.491684
Visions Arsha,1390.0,0.9868,17.4632,78.2865
Visions Arsha,2162.5,1.535,17.4632,78.2865
The Regent by Auro Realty,1844.0,1.905,17.47,78.3534
Aliens Space Station,1254.0,1.2,17.4681,
Aliens Space Station,1820.0,1.555,17.4681,
Aliens Space Station,3569.0,3.0,17.4681,
Aliens Space Station,6309.5,4.734999999999999,17.4681,
Candeur Lakescape,1470.0,1.36,17.47,78.3534
Candeur Lakescape,2162.5,2.0,17.47,78.3534
Candeur Lakescape,2416.0,2.23,17.47,78.3534
Manepally Lakeview Grandeur,1315.0,0.6573500000000001,17.2714,78.5781
Manepally Lakeview Grandeur,1920.0,0.95995,17.2714,78.5781
Makuta My Space 2,1347.5,0.87775,17.5513,78.3855
Makuta My Space 2,1955.0,1.27315,17.5513,78.3855
Samshraya Homes,886.0,0.87515,17.4875,78.3953
Samshraya Homes,949.3333333333334,0.96795,17.4875,78.3953
AR Homes Rise,1300.0,0.6498999999999999,,78.491684
AR Homes Rise,1775.0,0.8862,,78.491684
AR Homes Rise,3125.0,1.56,,78.491684
GNRs Vasavi Nirvana,2117.5,1.545,17.3667,78.4285
Hallmark Sunnyside,1217.5,0.9515,17.3876,78.3572
Hallmark Sunnyside,1878.0,1.465,17.3876,78.3572
The Pearl By Auro Realty,5350.0,6.6850000000000005,17.4435,78.3772
Madhu Park Ville,1509.0,0.9507,17.4632,78.2865
Madhu Park Ville,2075.5,1.31,17.4632,78.2865
Lumbini Elysee,2614.5,2.6,17.4108,78.3416
Lumbini Elysee,4178.5,4.155,17.4108,78.3416
Svadha Mackennas,1487.5,0.84775,,78.491684
Svadha Mackennas,1905.0,1.08475,,78.491684
Sujay Sierra,1297.5,0.7135,17.5513,78.3855
Sujay Sierra,1700.0,0.9348,17.5513,78.3855
33West,1360.0,1.09,17.4748,78.3103
33West,1885.0,1.515,17.4748,78.3103
Syamantaka Emerald Heights,1145.0,0.7443000000000001,17.5513,78.3855
Syamantaka Emerald Heights,1470.0,0.9555,17.5513,78.3855
Ramky Nextown,1005.0,0.55,17.5466,78.2131
Anuhar Towers,1423.5,0.9986,17.4062,78.3763
Anuhar Towers,1821.5,1.275,17.4062,78.3763
Krishna Bai Residency,1195.0,0.65725,17.3984,78.5583
Krishna Bai Residency,1535.0,0.8443,17.3984,78.5583
Confident Ridge,1330.0,0.8645499999999999,17.4934,78.3278
Confident Ridge,1610.0,1.049,17.4934,78.3278
Aditya Athena,2102.5,2.14,17.406,78.3908
Trishala Trilok,2200.0,1.54,17.322,78.4023
Trishala Trilok,3650.0,2.56,17.322,78.4023
