property_name,seller,facilities,advantages,column0,column1,column2,column3,column4,column5,floors,units,total project area,towers,open area,address
Sumadhuras Gardens By The Brook,Sumadhura Infracon Pvt. Ltd.Builder,19,6.565,2,Apartment,Super Built-up Area,1362.5,(119.38 - 133.78 sq.m.),0.9749,14,908,9.625,8,,"shamshabad,hyderabad"
Sumadhuras Gardens By The Brook,Sumadhura Infracon Pvt. Ltd.Builder,19,6.565,3,Apartment,Super Built-up Area,1652.5,(150.97 - 156.08 sq.m.),1.23,14,908,9.625,8,,"shamshabad,hyderabad"
The Olympus,Sumadhura Infracon Pvt. Ltd.Builder,27,7.209090909,3,Apartment,Super Built-up Area,2140,(186.74 - 210.89 sq.m.),2.4,,856,5.06,2,,"nanakramguda,hyderabad"
Technopolis Solitaire Unity,TECHNOPOLIS CONSTRUCTION COMPANY PVT LTDBuilder,21,6.225,2,Apartment,Super Built-up Area,1420,(113.81 - 150.04 sq.m.),1.18,16,352,2.24,1,,"kondapur,hyderabad"
Technopolis Solitaire Unity,TECHNOPOLIS CONSTRUCTION COMPANY PVT LTDBuilder,21,6.225,3,Apartment,Super Built-up Area,1850,(130.06 - 213.68 sq.m.),1.535,16,352,2.24,1,,"kondapur,hyderabad"
Primark Northwave,Primark DevelopersBuilder,9,11.36,2,Apartment,Super Built-up Area,1297.5,(120.31 - 120.77 sq.m.),0.6097,9,1026,13.5,14,,"bahadurpally,hyderabad"
Primark Northwave,Primark DevelopersBuilder,9,11.36,3,Apartment,Super Built-up Area,1637.5,(136.1 - 168.15 sq.m.),0.76945,9,1026,13.5,14,,"bahadurpally,hyderabad"
Iris by Raghava,MagicPropDealer,11,7.092307692,4,Apartment,Super Built-up Area,3822,(443.14 - 613.62 sq.m.),7.11,45,531,7.38,3,,"gachibowli,hyderabad"
Unnati Shree Rath Apartments,Unnati BuildtechBuilder,18,9.209090909,2,Apartment,Super Built-up Area,985,(87.79 - 95.23 sq.m.),0.7683,23,628,3,,72%,"nizampet,hyderabad"
Unnati Shree Rath Apartments,Unnati BuildtechBuilder,18,9.209090909,3,Apartment,Super Built-up Area,1685,(145.39 - 167.69 sq.m.),1.315,23,628,3,,72%,"nizampet,hyderabad"
ASBL Loft,MagicPropDealer,19,7.035714286,3,Apartment,Carpet Area,1782.5,(157.47 - 173.73 sq.m.),1.66,45,894,4.92,2,,"gachibowli,hyderabad"
Primark Inspira,MagicPropDealer,24,8.641666667,2,Apartment,Super Built-up Area,1227.5,(112.88 - 115.2 sq.m.),0.85915,17,884,6,4,,"miyapur,hyderabad"
Primark Inspira,MagicPropDealer,24,8.641666667,3,Apartment,Super Built-up Area,1890,(135.17 - 216.0 sq.m.),1.325,17,884,6,4,,"miyapur,hyderabad"
Aparna Newlands,APARNA CONSTRUCTIONS AND ESTATES PVT LTDBuilder,18,10.14166667,2,Apartment,Super Built-up Area,1475,(137.03 sq.m.),1.3,41,1976,14,8,,"tellapur,hyderabad"
Aparna Newlands,APARNA CONSTRUCTIONS AND ESTATES PVT LTDBuilder,18,10.14166667,3,Apartment,Super Built-up Area,1832,(157.01 - 183.39 sq.m.),1.615,41,1976,14,8,,"tellapur,hyderabad"
Rubrick Tulip,RUBRICK CONSTRUCTIONS PRIVATE LIMITEDBuilder,24,11.875,2,Apartment,Super Built-up Area,1330,(98.01 - 149.11 sq.m.),0.62495,15,810,6.496,6,,"tukkuguda,hyderabad"
Rubrick Tulip,RUBRICK CONSTRUCTIONS PRIVATE LIMITEDBuilder,24,11.875,3,Apartment,Super Built-up Area,1762.5,(144.93 - 182.55 sq.m.),0.8282,15,810,6.496,6,,"tukkuguda,hyderabad"
Visions Arsha,VISION INFRA DEVELOPERS(INDIA) PVT LTDBuilder,20,11.53,2,Apartment,Super Built-up Area,1390,(129.14 sq.m.),0.9868,28,1561,11,7,,"tellapur,hyderabad"
Visions Arsha,VISION INFRA DEVELOPERS(INDIA) PVT LTDBuilder,20,11.53,3,Apartment,Super Built-up Area,2162.5,(150.97 - 250.84 sq.m.),1.535,28,1561,11,7,,"tellapur,hyderabad"
The Regent by Auro Realty,AURO REALTY PRIVATE LIMITEDBuilder,20,6.430769231,3,Apartment,Super Built-up Area,1844,(139.08 - 203.55 sq.m.),1.905,39,,10.38,9,,"kondapur,hyderabad"
Aliens Space Station,Aliens Developers Pvt LtdBuilder,25,10.03076923,2,Apartment,Super Built-up Area,1254,(116.5 sq.m.),,30,2200,,83,80%,"tellapur,hyderabad"
Aliens Space Station,Aliens Developers Pvt LtdBuilder,25,10.03076923,3,Apartment,Super Built-up Area,1820,(133.04 - 205.13 sq.m.),1.555,30,2200,,83,80%,"tellapur,hyderabad"
Aliens Space Station,Aliens Developers Pvt LtdBuilder,25,10.03076923,4,Apartment,Super Built-up Area,3569,(331.57 sq.m.),,30,2200,,83,80%,"tellapur,hyderabad"
Aliens Space Station,Aliens Developers Pvt LtdBuilder,25,10.03076923,5,Apartment,Super Built-up Area,6309.5,(459.41 - 712.94 sq.m.),4.735,30,2200,,83,80%,"tellapur,hyderabad"
Candeur Lakescape,CANDEUR CONSTRUCTIONS PRIVATE LIMITEDBuilder,29,9.284615385,2,Apartment,Super Built-up Area,1470,(120.4 - 152.73 sq.m.),1.36,47,1990,9.2,7,,"kondapur,hyderabad"
Candeur Lakescape,CANDEUR CONSTRUCTIONS PRIVATE LIMITEDBuilder,29,9.284615385,3,Apartment,Super Built-up Area,2162.5,(177.35 - 224.45 sq.m.),2,47,1990,9.2,7,,"kondapur,hyderabad"
Candeur Lakescape,CANDEUR CONSTRUCTIONS PRIVATE LIMITEDBuilder,29,9.284615385,4,Apartment,Super Built-up Area,2416,(224.45 sq.m.),2.23,47,1990,9.2,7,,"kondapur,hyderabad"
Manepally Lakeview Grandeur,MANEPALLY REALTY & INFRA LLPBuilder,16,2.38,2,Apartment,Super Built-up Area,1315,(97.55 - 146.79 sq.m.),0.65735,5,420,3.93,1,,"turkayamjal,hyderabad"
Manepally Lakeview Grandeur,MANEPALLY REALTY & INFRA LLPBuilder,16,2.38,3,Apartment,Super Built-up Area,1920,(130.06 - 226.68 sq.m.),0.95995,5,420,3.93,1,,"turkayamjal,hyderabad"
Makuta My Space 2,Makuta DevelopersBuilder,24,11.65,2,Apartment,Super Built-up Area,1347.5,(99.41 - 150.97 sq.m.),0.87775,18,804,5.9,6,,"bachupally,hyderabad"
Makuta My Space 2,Makuta DevelopersBuilder,24,11.65,3,Apartment,Super Built-up Area,1955,(132.39 - 230.86 sq.m.),1.27315,18,804,5.9,6,,"bachupally,hyderabad"
Samshraya Homes,H&M Avenue Projects Pvt LtdBuilder,20,3,2,Apartment,Super Built-up Area,886,(106.84 - 132.28 sq.m.),0.87515,8,144,1.460380449,1,,"kukatpally,hyderabad"
Samshraya Homes,H&M Avenue Projects Pvt LtdBuilder,20,3,3,Apartment,Super Built-up Area,949.3333333,(132.21 - 132.29 sq.m.),0.96795,8,144,1.460380449,1,,"kukatpally,hyderabad"
AR Homes Rise,AR HOMESBuilder,21,,2,Apartment,Super Built-up Area,1300,(120.77 sq.m.),0.6499,15,750,6.7,5,65%,"kollur,hyderabad"
AR Homes Rise,AR HOMESBuilder,21,,3,Apartment,Super Built-up Area,1775,(128.67 - 201.14 sq.m.),0.8862,15,750,6.7,5,65%,"kollur,hyderabad"
AR Homes Rise,AR HOMESBuilder,21,,4,Apartment,Super Built-up Area,3125,(245.73 - 334.92 sq.m.),1.56,15,750,6.7,5,65%,"kollur,hyderabad"
GNRs Vasavi Nirvana,SHREE VASAVI DEVELOPERSBuilder,24,8.126923077,3,Apartment,Super Built-up Area,2117.5,(129.6 - 263.84 sq.m.),1.545,10,180,1.8,2,57%,"attapur,hyderabad"
Hallmark Sunnyside,Hallmark BuildersBuilder,28,10.34166667,2,Apartment,Super Built-up Area,1217.5,(106.37 - 119.84 sq.m.),0.9515,9,499,5.7,5,80%,"narsingi,hyderabad"
Hallmark Sunnyside,Hallmark BuildersBuilder,28,10.34166667,3,Apartment,Super Built-up Area,1878,(141.96 - 206.99 sq.m.),1.465,9,499,5.7,5,80%,"narsingi,hyderabad"
The Pearl By Auro Realty,AURO REALTY PRIVATE LIMITEDBuilder,25,6.14,4,Apartment,Super Built-up Area,5350,(492.39 - 501.68 sq.m.),6.685,33,414,8.54,7,,"Hi Tech city,hyderabad"
Madhu Park Ville,Madhu Infrastructure Private LimitedBuilder,24,,2,Apartment,Super Built-up Area,1509,(140.19 sq.m.),0.9507,15,350,3.1,2,,"tellapur,hyderabad"
Madhu Park Ville,Madhu Infrastructure Private LimitedBuilder,24,,3,Apartment,Super Built-up Area,2075.5,(182.28 - 203.36 sq.m.),1.31,15,350,3.1,2,,"tellapur,hyderabad"
Lumbini Elysee,LUMBINI CONSTRUCTIONS PRIVATE LIMITEDBuilder,11,7.792307692,3,Apartment,Super Built-up Area,2614.5,(195.19 - 290.6 sq.m.),2.6,15,156,2.27,10,,"Financial district,hyderabad"
