property_name,link,price,configuration,specifications,seller,facilities,advantages
Hallmark Floresta,https://www.99acres.com/hallmark-floresta-patighanpur-hyderabad-npxid-r414404,₹ 3.24 - 5.53 Cr,"['3 BHK', 'Villa', 'Built-up Area', '2700 - 3775 sq.ft.', '(250.84 - 350.71 sq.m.)', ""₹ 3.24 - 4.53 Cr'}"", '']","{'floors': '2', 'units': '166', 'total project area': '13.46 acres (54.47k sq.m.)'}",Hallmark BuildersBuilder,"['Water Softener Plant', 'Sewage Treatment Plant', 'CCTV Camera Security', '24x7 Security', 'Club House', 'DTH Television', 'InterCom', 'DG Availability']","{'narayana iit academy': '1 min', 'the gaudium school': '5 min', 'candiidus international school': '5 min', 'citizen hospital': '19 min', 'dmart': '10 min', 'bhel cross road': '23 min', 'hyderabad international airport': '37 min', 'value mart': '10 min'}"
Hallmark Floresta,https://www.99acres.com/hallmark-floresta-patighanpur-hyderabad-npxid-r414404,₹ 3.24 - 5.53 Cr,"['4 BHK', 'Villa', 'Built-up Area', '4090 - 4605 sq.ft.', '(379.97 - 427.82 sq.m.)', ""₹ 4.91 - 5.53 Cr'}]""]","{'floors': '2', 'units': '166', 'total project area': '13.46 acres (54.47k sq.m.)'}",Hallmark BuildersBuilder,"['Water Softener Plant', 'Sewage Treatment Plant', 'CCTV Camera Security', '24x7 Security', 'Club House', 'DTH Television', 'InterCom', 'DG Availability']","{'narayana iit academy': '1 min', 'the gaudium school': '5 min', 'candiidus international school': '5 min', 'citizen hospital': '19 min', 'dmart': '10 min', 'bhel cross road': '23 min', 'hyderabad international airport': '37 min', 'value mart': '10 min'}"
Sumadhuras Gardens By The Brook,https://www.99acres.com/sumadhuras-gardens-by-the-brook-shamshabad-hyderabad-npxid-r389311,₹ 87 L - 1.28 Cr,"['2 BHK', 'Apartment', 'Super Built-up Area', '1285 - 1440 sq.ft.', '(119.38 - 133.78 sq.m.)', ""₹ 87 - 97.49 L'}"", '']","{'towers': '8', 'floors': '14', 'units': '908', 'total project area': '9.625 acres (38.95k sq.m.)'}",Sumadhura Infracon Pvt. Ltd.Builder,"['Mini Theatre', 'Car wash area', 'Swimming Pool', 'Medical Centre', 'Salon', 'Solar Lighting', 'Aerobics Centre', 'Restaurant', 'Spa']","{'nh 44': '650 m', 'umda nagar railway station': '4 km', 'shanthi multispecialty hospital': '4.2 km', 'hotel rainbow international': '5.9 km', 'infant jesus international school': '6 km', 'rajiv gandhi international airport': '6.8 km', 'agriculture university': '6.9 km', 'escape water park': '7.4 km', 'mantra mall': '11.6 km', 'gmr business park': '12.2 km'}"
Sumadhuras Gardens By The Brook,https://www.99acres.com/sumadhuras-gardens-by-the-brook-shamshabad-hyderabad-npxid-r389311,₹ 87 L - 1.28 Cr,"['3 BHK', 'Apartment', 'Super Built-up Area', '1625 - 1680 sq.ft.', '(150.97 - 156.08 sq.m.)', ""₹ 1.18 - 1.28 Cr'}]""]","{'towers': '8', 'floors': '14', 'units': '908', 'total project area': '9.625 acres (38.95k sq.m.)'}",Sumadhura Infracon Pvt. Ltd.Builder,"['Mini Theatre', 'Car wash area', 'Swimming Pool', 'Medical Centre', 'Salon', 'Solar Lighting', 'Aerobics Centre', 'Restaurant', 'Spa']","{'nh 44': '650 m', 'umda nagar railway station': '4 km', 'shanthi multispecialty hospital': '4.2 km', 'hotel rainbow international': '5.9 km', 'infant jesus international school': '6 km', 'rajiv gandhi international airport': '6.8 km', 'agriculture university': '6.9 km', 'escape water park': '7.4 km', 'mantra mall': '11.6 km', 'gmr business park': '12.2 km'}"
The Olympus,https://www.99acres.com/the-olympus-nanakramguda-hyderabad-npxid-r378897,₹ 2.27 - 2.53 Cr,"['3 BHK', 'Apartment', 'Super Built-up Area', '2010 - 2270 sq.ft.', '(186.74 - 210.89 sq.m.)', ""₹ 2.27 - 2.53 Cr'}]""]","{'towers': '2', 'units': '856', 'total project area': '5.06 acres (20.48k sq.m.)'}",Sumadhura Infracon Pvt. Ltd.Builder,"['Skating Rink', 'Cricket Pitch', 'Amphitheatre', 'Party Lawn', 'Basketball Court', 'Jogging Track', 'Club House', 'Gated Community', 'Gymnasium']","{'nehru outer ring road': '1.3 km', 'oakridge international school': '1.9 km', 'emaar mgf boulder hills': '4.1 km', 'raidurg metro station': '5.2 km', 'university of hyderabad': '6.5 km', 'inorbit mall cyberabad': '6.6 km', 'raheja mindspace it park': '7.6 km', 'ocean park': '9.1 km', 'kims hospitals\\xa0': '9.5 km', 'hitec city mmts railway station': '11.1 km', 'begumpet airport': '16.4 km'}"
Technopolis Solitaire Unity,https://www.99acres.com/technopolis-solitaire-unity-kondapur-hyderabad-npxid-r381541,₹ 1.02 - 1.91 Cr,"['2 BHK', 'Apartment', 'Super Built-up Area', '1225 - 1615 sq.ft.', '(113.81 - 150.04 sq.m.)', ""₹ 1.02 - 1.34 Cr'}"", '']","{'towers': '1', 'floors': '16', 'units': '352', 'total project area': '2.24 acres (9.06k sq.m.)'}",TECHNOPOLIS CONSTRUCTION COMPANY PVT LTDBuilder,"['Swimming Pool', 'Business Lounge', 'Aerobics Centre', 'Creche/Day care', 'Gazebo', 'Banquet Hall', 'Library', 'Sun Deck', 'Multipurpose Court']","{'chandanagar railway station': '1.4 km', 'university of hyderabad': '3 km', 'collection o vennela residency': '3.1 km', 'the oaktree school\\xa0': '3.2 km', 'pranaam hospitals': '4.2 km', 'mumbai highway': '4.9 km', 'pjr stadium': '5.6 km', 'gsm mall & multiplex': '6.2 km', 'miyapur metro station': '6.3 km', 'silver oak kala jyothi golf course': '8.6 km', 'ascendas it park': '9 km', 'begumpet airport': '19.2 km'}"
Technopolis Solitaire Unity,https://www.99acres.com/technopolis-solitaire-unity-kondapur-hyderabad-npxid-r381541,₹ 1.02 - 1.91 Cr,"['3 BHK', 'Apartment', 'Super Built-up Area', '1400 - 2300 sq.ft.', '(130.06 - 213.68 sq.m.)', ""₹ 1.16 - 1.91 Cr'}]""]","{'towers': '1', 'floors': '16', 'units': '352', 'total project area': '2.24 acres (9.06k sq.m.)'}",TECHNOPOLIS CONSTRUCTION COMPANY PVT LTDBuilder,"['Swimming Pool', 'Business Lounge', 'Aerobics Centre', 'Creche/Day care', 'Gazebo', 'Banquet Hall', 'Library', 'Sun Deck', 'Multipurpose Court']","{'chandanagar railway station': '1.4 km', 'university of hyderabad': '3 km', 'collection o vennela residency': '3.1 km', 'the oaktree school\\xa0': '3.2 km', 'pranaam hospitals': '4.2 km', 'mumbai highway': '4.9 km', 'pjr stadium': '5.6 km', 'gsm mall & multiplex': '6.2 km', 'miyapur metro station': '6.3 km', 'silver oak kala jyothi golf course': '8.6 km', 'ascendas it park': '9 km', 'begumpet airport': '19.2 km'}"
Primark Northwave,https://www.99acres.com/primark-northwave-bahadurpally-hyderabad-npxid-r423661,₹ 60.85 - 85.05 L,"['2 BHK', 'Apartment', 'Super Built-up Area', '1295 - 1300 sq.ft.', '(120.31 - 120.77 sq.m.)', ""₹ 60.85 - 61.09 L'}"", '']","{'towers': '14', 'floors': '9', 'units': '1026', 'total project area': '13.5 acres (54.63k sq.m.)'}",Primark DevelopersBuilder,"['Car wash area', 'Flower Garden', 'Reflexology Park', 'Aerobics Centre', 'Barbecue', 'Pergola', 'High Speed Elevators', 'Piped Gas', 'Skating Rink']","{'malla reddy narayana hospital': '1.8 km', 'quthbullapur cricket stadium': '4.6 km', 'mahindra university': '4.9 km', 'delhi public school - miyapur': '5.7 km', 'nh 44': '9.1 km', 'gundlapochampally railway station': '9.8 km', 'minerva grand - kompally': '10 km', 'kphb colony metro station': '11.4 km', 'kandlakoya it park': '12.3 km', 'rajiv gandhi international airport': '44 km'}"
Primark Northwave,https://www.99acres.com/primark-northwave-bahadurpally-hyderabad-npxid-r423661,₹ 60.85 - 85.05 L,"['3 BHK', 'Apartment', 'Super Built-up Area', '1465 - 1810 sq.ft.', '(136.1 - 168.15 sq.m.)', ""₹ 68.84 - 85.05 L'}]""]","{'towers': '14', 'floors': '9', 'units': '1026', 'total project area': '13.5 acres (54.63k sq.m.)'}",Primark DevelopersBuilder,"['Car wash area', 'Flower Garden', 'Reflexology Park', 'Aerobics Centre', 'Barbecue', 'Pergola', 'High Speed Elevators', 'Piped Gas', 'Skating Rink']","{'malla reddy narayana hospital': '1.8 km', 'quthbullapur cricket stadium': '4.6 km', 'mahindra university': '4.9 km', 'delhi public school - miyapur': '5.7 km', 'nh 44': '9.1 km', 'gundlapochampally railway station': '9.8 km', 'minerva grand - kompally': '10 km', 'kphb colony metro station': '11.4 km', 'kandlakoya it park': '12.3 km', 'rajiv gandhi international airport': '44 km'}"
Iris by Raghava,https://www.99acres.com/iris-by-raghava-gachibowli-hyderabad-npxid-r399658,₹ 5.96 - 8.26 Cr,"['4 BHK', 'Apartment', 'Super Built-up Area', '4769.92 - 6605 sq.ft.', '(443.14 - 613.62 sq.m.)', ""₹ 5.96 - 8.26 Cr'}]""]","{'towers': '3', 'floors': '45', 'units': '531', 'total project area': '7.38 acres (29.87k sq.m.)'}",MagicPropDealer,"['Reading Lounge', 'Creche/Day care', 'Squash Court', 'Banquet Hall', 'Fountain', 'Cricket Pitch', 'Lawn Tennis Court', 'Multipurpose Court', 'Basketball Court']","{'kairos global school': '2.2 km', 'kims hospitals gachibowli': '2.5 km', 'old mumbai highway': '3.1 km', 'raidurg metro station': '3.1 km', 'kohenur road': '3.7 km', 'inorbit mall cyberabad': '4.2 km', 'itc kohenur': '4.5 km', 'botanical garden kondapur': '5.4 km', 'amazon hyderabad campus': '5.5 km', 'university of hyderabad': '7.2 km', 'borabanda railway station': '9.3 km', 'ocean park': '12.2 km', 'rajiv gandhi international airport': '29.3 km'}"
