property_name,address,facilities,lat,long
Sumadhuras Gardens By The Brook,"shamshabad,hyderabad",19.0,17.2619,78.3880
Sumadhuras Gardens By The Brook,"shamshabad,hyderabad",19.0,17.2619,78.3880
Suchirindia The Tales of Greek,"shamshabad,hyderabad",19.0,17.2619,78.3880
Modi Lake View,"shamshabad,hyderabad",22.0,17.2619,78.3880
The Olympus,"nanakramguda,hyderabad",27.0,17.4169,78.3424
Technopolis Solitaire Unity,"kondapur,hyderabad",21.0,17.4700,78.3534
Technopolis Solitaire Unity,"kondapur,hyderabad",21.0,17.4700,78.3534
The Regent by Auro Realty,"kondapur,hyderabad",20.0,17.4700,78.3534
Candeur Lakescape,"kondapur,hyderabad",29.0,17.4700,78.3534
Candeur Lakescape,"kondapur,hyderabad",29.0,17.4700,78.3534
Candeur Lakescape,"kondapur,hyderabad",29.0,17.4700,78.3534
Indis Viva City,"kondapur,hyderabad",18.0,17.4700,78.3534
Indis Viva City,"kondapur,hyderabad",18.0,17.4700,78.3534
BSCPL Bollineni Bion,"kondapur,hyderabad",18.0,17.4700,78.3534
BSCPL Bollineni Bion,"kondapur,hyderabad",18.0,17.4700,78.3534
Nirvana Belleza,"kondapur,hyderabad",26.0,17.4700,78.3534
Sumadhura Horizon,"kondapur,hyderabad",18.0,17.4700,78.3534
Sri Saikrishna Prime,"kondapur,hyderabad",8.0,17.4700,78.3534
SMR Vinay Iconia,"kondapur,hyderabad",22.0,17.4700,78.3534
SMR Vinay Iconia,"kondapur,hyderabad",22.0,17.4700,78.3534
SMR Vinay Iconia,"kondapur,hyderabad",22.0,17.4700,78.3534
Suvela Sai Sreenija,"kondapur,hyderabad",25.0,17.4700,78.3534
Sai Keerthi Signature,"kondapur,hyderabad",33.0,17.4700,78.3534
RNP 1,"kondapur,hyderabad",19.0,17.4700,78.3534
GHR Titania,"kondapur,hyderabad",18.0,17.4700,78.3534
GHR Titania,"kondapur,hyderabad",18.0,17.4700,78.3534
Primark Northwave,"bahadurpally,hyderabad",9.0,17.5641,78.4377
Primark Northwave,"bahadurpally,hyderabad",9.0,17.5641,78.4377
Silpas Kalpavriksha,"bahadurpally,hyderabad",19.0,17.5641,78.4377
Silpas Kalpavriksha,"bahadurpally,hyderabad",19.0,17.5641,78.4377
Primark De Stature,"bahadurpally,hyderabad",18.0,17.5641,78.4377
Primark De Stature,"bahadurpally,hyderabad",18.0,17.5641,78.4377
