property_name,link,price,configuration,specifications,seller,facilities,advantages
Hallmark Floresta,https://www.99acres.com/hallmark-floresta-patighanpur-hyderabad-npxid-r414404,₹ 3.24 - 5.53 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Villa', 'area_type_style': 'Built-up Area', 'area_sub_heading_one': '2700 - 3775 sq.ft.', 'area_sub_heading_two': '(250.84 - 350.71 sq.m.)', 'price_heading': '₹ 3.24 - 4.53 Cr'}, {'config_band_label': '4 BHK', 'config_band_heading': 'Villa', 'area_type_style': 'Built-up Area', 'area_sub_heading_one': '4090 - 4605 sq.ft.', 'area_sub_heading_two': '(379.97 - 427.82 sq.m.)', 'price_heading': '₹ 4.91 - 5.53 Cr'}]",Floors|2|Units|166|Total Project Area|13.46 acres (54.47K sq.m.),Hallmark BuildersBuilder,"['Water Softener Plant', 'Sewage Treatment Plant', 'CCTV Camera Security', '24x7 Security', 'Club House', 'DTH Television', 'InterCom', 'DG Availability']","{'Narayana IIT Academy': '1 Min', 'The Gaudium School': '5 Min', 'Candiidus International School': '5 Min', 'Citizen Hospital': '19 Min', 'Dmart': '10 Min', 'BHEL Cross Road': '23 Min', 'Hyderabad International Airport': '37 Min', 'Value Mart': '10 Min'}"
Sumadhuras Gardens By The Brook,https://www.99acres.com/sumadhuras-gardens-by-the-brook-shamshabad-hyderabad-npxid-r389311,₹ 87 L - 1.28 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1285 - 1440 sq.ft.', 'area_sub_heading_two': '(119.38 - 133.78 sq.m.)', 'price_heading': '₹ 87 - 97.49 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1625 - 1680 sq.ft.', 'area_sub_heading_two': '(150.97 - 156.08 sq.m.)', 'price_heading': '₹ 1.18 - 1.28 Cr'}]",Towers|8|Floors|14|Units|908|Total Project Area|9.625 acres (38.95K sq.m.),Sumadhura Infracon Pvt. Ltd.Builder,"['Mini Theatre', 'Car wash area', 'Swimming Pool', 'Medical Centre', 'Salon', 'Solar Lighting', 'Aerobics Centre', 'Restaurant', 'Spa']","{'NH 44': '650 m', 'Umda Nagar Railway Station': '4 Km', 'Shanthi Multispecialty Hospital': '4.2 Km', 'Hotel Rainbow International': '5.9 Km', 'Infant Jesus International School': '6 Km', 'Rajiv Gandhi International Airport': '6.8 Km', 'Agriculture university': '6.9 Km', 'Escape Water Park': '7.4 Km', 'Mantra Mall': '11.6 Km', 'GMR Business Park': '12.2 Km'}"
The Olympus,https://www.99acres.com/the-olympus-nanakramguda-hyderabad-npxid-r378897,₹ 2.27 - 2.53 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '2010 - 2270 sq.ft.', 'area_sub_heading_two': '(186.74 - 210.89 sq.m.)', 'price_heading': '₹ 2.27 - 2.53 Cr'}]",Towers|2|Units|856|Total Project Area|5.06 acres (20.48K sq.m.),Sumadhura Infracon Pvt. Ltd.Builder,"['Skating Rink', 'Cricket Pitch', 'Amphitheatre', 'Party Lawn', 'Basketball Court', 'Jogging Track', 'Club House', 'Gated Community', 'Gymnasium']","{'Nehru Outer Ring Road': '1.3 Km', 'Oakridge International School': '1.9 Km', 'Emaar MGF Boulder Hills': '4.1 Km', 'Raidurg Metro Station': '5.2 Km', 'University of Hyderabad': '6.5 Km', 'Inorbit Mall Cyberabad': '6.6 Km', 'Raheja Mindspace IT Park': '7.6 Km', 'Ocean Park': '9.1 Km', 'KIMS Hospitals\xa0': '9.5 Km', 'HITEC City MMTS Railway Station': '11.1 Km', 'Begumpet Airport': '16.4 Km'}"
Technopolis Solitaire Unity,https://www.99acres.com/technopolis-solitaire-unity-kondapur-hyderabad-npxid-r381541,₹ 1.02 - 1.91 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1225 - 1615 sq.ft.', 'area_sub_heading_two': '(113.81 - 150.04 sq.m.)', 'price_heading': '₹ 1.02 - 1.34 Cr'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1400 - 2300 sq.ft.', 'area_sub_heading_two': '(130.06 - 213.68 sq.m.)', 'price_heading': '₹ 1.16 - 1.91 Cr'}]",Towers|1|Floors|16|Units|352|Total Project Area|2.24 acres (9.06K sq.m.),TECHNOPOLIS CONSTRUCTION COMPANY PVT LTDBuilder,"['Swimming Pool', 'Business Lounge', 'Aerobics Centre', 'Creche/Day care', 'Gazebo', 'Banquet Hall', 'Library', 'Sun Deck', 'Multipurpose Court']","{'Chandanagar Railway Station': '1.4 Km', 'University of Hyderabad': '3 Km', 'Collection O Vennela Residency': '3.1 Km', 'The OakTree school\xa0': '3.2 Km', 'Pranaam Hospitals': '4.2 Km', 'Mumbai Highway': '4.9 Km', 'PJR Stadium': '5.6 Km', 'GSM Mall & Multiplex': '6.2 Km', 'Miyapur Metro Station': '6.3 Km', 'Silver Oak Kala Jyothi Golf Course': '8.6 Km', 'Ascendas IT Park': '9 Km', 'Begumpet Airport': '19.2 Km'}"
Primark Northwave,https://www.99acres.com/primark-northwave-bahadurpally-hyderabad-npxid-r423661,₹ 60.85 - 85.05 L,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1295 - 1300 sq.ft.', 'area_sub_heading_two': '(120.31 - 120.77 sq.m.)', 'price_heading': '₹ 60.85 - 61.09 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1465 - 1810 sq.ft.', 'area_sub_heading_two': '(136.1 - 168.15 sq.m.)', 'price_heading': '₹ 68.84 - 85.05 L'}]",Towers|14|Floors|9|Units|1026|Total Project Area|13.5 acres (54.63K sq.m.),Primark DevelopersBuilder,"['Car wash area', 'Flower Garden', 'Reflexology Park', 'Aerobics Centre', 'Barbecue', 'Pergola', 'High Speed Elevators', 'Piped Gas', 'Skating Rink']","{'Malla Reddy Narayana Hospital': '1.8 Km', 'Quthbullapur Cricket Stadium': '4.6 Km', 'Mahindra University': '4.9 Km', 'Delhi Public School - Miyapur': '5.7 Km', 'NH 44': '9.1 Km', 'Gundlapochampally Railway Station': '9.8 Km', 'Minerva Grand - Kompally': '10 Km', 'KPHB Colony Metro Station': '11.4 Km', 'Kandlakoya IT Park': '12.3 Km', 'Rajiv Gandhi International Airport': '44 Km'}"
Iris by Raghava,https://www.99acres.com/iris-by-raghava-gachibowli-hyderabad-npxid-r399658,₹ 5.96 - 8.26 Cr,"[{'config_band_label': '4 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '4769.92 - 6605 sq.ft.', 'area_sub_heading_two': '(443.14 - 613.62 sq.m.)', 'price_heading': '₹ 5.96 - 8.26 Cr'}]",Towers|3|Floors|45|Units|531|Total Project Area|7.38 acres (29.87K sq.m.),MagicPropDealer,"['Reading Lounge', 'Creche/Day care', 'Squash Court', 'Banquet Hall', 'Fountain', 'Cricket Pitch', 'Lawn Tennis Court', 'Multipurpose Court', 'Basketball Court']","{'Kairos Global School': '2.2 Km', 'KIMS Hospitals Gachibowli': '2.5 Km', 'Old Mumbai Highway': '3.1 Km', 'Raidurg Metro Station': '3.1 Km', 'Kohenur Road': '3.7 Km', 'Inorbit Mall Cyberabad': '4.2 Km', 'ITC Kohenur': '4.5 Km', 'Botanical Garden Kondapur': '5.4 Km', 'Amazon Hyderabad Campus': '5.5 Km', 'University of Hyderabad': '7.2 Km', 'Borabanda Railway Station': '9.3 Km', 'Ocean Park': '12.2 Km', 'Rajiv Gandhi International Airport': '29.3 Km'}"
Unnati Shree Rath Apartments,https://www.99acres.com/unnati-shree-rath-apartments-nizampet-hyderabad-npxid-r271655,₹ 73.71 L - 1.41 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '945 - 1025 sq.ft.', 'area_sub_heading_two': '(87.79 - 95.23 sq.m.)', 'price_heading': '₹ 73.71 - 79.95 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1565 - 1805 sq.ft.', 'area_sub_heading_two': '(145.39 - 167.69 sq.m.)', 'price_heading': '₹ 1.22 - 1.41 Cr'}]",Floors|23|Units|628|Total Project Area|3 acres (12.14K sq.m.)|Open Area|72 %,Unnati BuildtechBuilder,"['Clinic', 'Swimming Pool', 'Laundry', 'Salon', 'Aerobics Centre', 'Solar Water Heating', 'Visitors Parking', 'Restaurant', 'Piped Gas']","{'CMR Family Mall': '1.6 Km', 'SLG Hospitals': '1.9 Km', 'Mumbai Highway': '3 Km', 'Silver Oaks International School': '3.2 Km', 'JNTU College Metro Station': '3.6 Km', 'Jawaharlal Nehru Tech University': '4.5 Km', 'Hafizpet Railway Station': '8.2 Km', 'PJR Stadium': '9.2 Km', 'Novotel': '10.4 Km', 'International Tech Park Hyderabad': '11.8 Km', 'Rajiv Gandhi International Airport': '43.9 Km'}"
ASBL Loft,https://www.99acres.com/asbl-loft-gachibowli-hyderabad-npxid-r414538,₹ 1.58 - 1.74 Cr,"[{'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Carpet Area', 'area_sub_heading_one': '1695 - 1870 sq.ft.', 'area_sub_heading_two': '(157.47 - 173.73 sq.m.)', 'price_heading': '₹ 1.58 - 1.74 Cr'}]",Towers|2|Floors|45|Units|894|Total Project Area|4.92 acres (19.91K sq.m.),MagicPropDealer,"['Clinic', 'Swimming Pool', 'Lounge', 'Business Lounge', 'Medical Centre', 'Laundry', 'Conference room', 'Salon', 'ATM']","{'Keystone International School': '1.7 km', 'Continental Hospitals': '2 km', 'University of Hyderabad': '7.5 km', 'Raidurg': '7.9 km', 'Rajiv Gandhi International Airport': '27.7 km', 'Inorbit Mall Cyberabad': '8.6 km', 'Nehru Outer Ring Road': '3.6 km', 'Gachibowli Stadium': '6.8 km', 'Hyderabad Golf Club': '8.9 km', 'GROWORK - Coworking Office Space': '2.8 km', 'Ocean Park': '5.9 km', 'Hyatt Hyderabad Gachibowli': '2 km', 'KIMS Hospital': '5.1 km', 'Raidurg metro station': '8 kms'}"
Primark Inspira,https://www.99acres.com/primark-inspira-miyapur-hyderabad-npxid-r407293,₹ 85.04 L - 1.63 Cr,"[{'config_band_label': '2 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1215 - 1240 sq.ft.', 'area_sub_heading_two': '(112.88 - 115.2 sq.m.)', 'price_heading': '₹ 85.04 - 86.79 L'}, {'config_band_label': '3 BHK', 'config_band_heading': 'Apartment', 'area_type_style': 'Super Built-up Area', 'area_sub_heading_one': '1455 - 2325 sq.ft.', 'area_sub_heading_two': '(135.17 - 216.0 sq.m.)', 'price_heading': '₹ 1.02 - 1.63 Cr'}]",Towers|4|Floors|17|Units|884|Total Project Area|6 acres (24.28K sq.m.),MagicPropDealer,"['Mini Theatre', 'Manicured Garden', 'Infinity Pool', 'Swimming Pool', 'Flower Garden', 'Conference room', 'Volley Ball Court', 'Waiting Lounge', 'Piped Gas']","{'Mumbai Highway': '1.3 Km', 'Voxpop International School': '2 Km', 'Miyapur Metro Station': '2.4 Km', 'Srikara Hospitals': '3 Km', 'Hafeezpet Railway Station': '4.9 Km', 'GSM Mall & Multiplex': '5.1 Km', 'Jawaharlal Nehru Tech. University': '5.8 Km', 'Kohinoor IT Park': '7 Km', 'Novotel Hyderabad': '9 Km', 'GMC Balayogi Sports Complex': '11.3 Km', 'Emaar MGF Boulder Hills': '12.6 Km', 'Rajiv Gandhi International Airport': '39.3 Km'}"
Radhey Raaga,https://www.99acres.com/radhey-raaga-kollur-hyderabad-npxid-r387488,₹ 5.9 Cr,"[{'config_band_label': '4 BHK', 'config_band_heading': 'Villa', 'area_type_style': 'Built-up Area', 'area_sub_heading_one': '4591 sq.ft.', 'area_sub_heading_two': '(426.52 sq.m.)', 'price_heading': '₹ 5.9 Cr'}]",Floors|3|Units|290|Total Project Area|23.9 acres (96.72K sq.m.),Radhey Constructions India Pvt LtdBuilder,"['Swimming Pool', 'Conference room', 'Volley Ball Court', 'Solar Lighting', 'ATM', 'Aerobics Centre', 'Pergola', 'Spa', 'Creche/Day care']","{'The Gaudium School': '2.2 Km', 'Nehru Outer Ring Road': '4.3 Km', 'Nagalapalli': '4.5 Km', 'RM Hospital': '11.6 Km', 'Hotel Sitara Grand': '13.1 Km', 'Miyapur Central': '15.9 Km', 'GITAM University': '16.1 Km', 'Rajiv Gandhi International Airport': '43.8 Km'}"
